Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Manufacturer
1,Unpolarized capacitor,C_Small,C9 C10 C11 C12 C13 C14 C15 C16 C22 C23 C25 C27 C28,0.1 µF,C_0805_2012Metric,13,https://api.kemet.com/component-edge/download/datasheet/C0805C104J5RALTU.pdf,C0805C104J5RAL7800 C0805C104J3RACTU,KEMET
2,Unpolarized capacitor,C_Small,C21,10 nF,C_0805_2012Metric,1,https://api.kemet.com/component-edge/download/datasheet/C0805C103J5GACTU.pdf,C0805C103J5GACTU,KEMET
3,Unpolarized capacitor,C_Small,C1 C2 C3 C4 C5 C6 C7 C8 C19,10 µF,C_1210_3225Metric,9,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32DR71E106KA12-01.pdf,GRM32DR71E106KA12L,Murata Electronics North America
4,Unpolarized capacitor,C_Small,C17 C18 C26 C29,12 pF,C_0805_2012Metric,4,http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_16.pdf,CC0805FRNPO9BN120,Yageo
5,Unpolarized capacitor,C_Small,C20,3.3 nF,C_0805_2012Metric,1,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,GRM2165C1H332FA01J,Murata Electronics North America
6,Unpolarized capacitor,C_Small,C24,4700 pF,C_0805_2012Metric,1,https://api.kemet.com/component-edge/download/datasheet/C0805C472K5RACTU.pdf,C0805C472K5RACTU,KEMET
7,Dual schottky diode,D_Schottky_x2_Serial_AKC,D1 D2,BAT721S,SOT-23,2,https://assets.nexperia.com/documents/data-sheet/1PS76SB21_BAT721_SER.pdf,"BAT721S,215",Nexperia USA Inc.
8,,9007-05-01,K1 K2 K3 K4,9007-05-01,RELAY-9007,4,https://cotorelay.com/wp-content/uploads/2014/09/9007_series_reed_relay_datasheet.pdf,9007-05-01,Coto Technology
9,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,P2,CELL,T4145035041-001,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T41450350X1001&DocType=Customer+Drawing&DocLang=English,T4145035041-001,TE Connectivity AMP Connectors
10,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06,P3,ICSP,PinHeader_1x06_P2.54mm_Vertical,1,https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/xRxCzzzSxxN-RC_ST_11635-B.pdf,PRPC006SAAN-RC,Sullins Connector Solutions
11,,USB_Header,P1,USB Terminal,PinHeader_1x05_P2.54mm_Vertical,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=215297&DocType=Customer+Drawing&DocLang=English,215297-5,TE Connectivity AMP Connectors
12,"Resistor, small symbol",R_Small,R12,100k*,R_0805_2012Metric,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,ERA-6AEB104V,Panasonic Electronic Components
