Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 nF,C_0805_2012Metric,77.3,-125.3,0,top
C2,0.1 µF,C_0805_2012Metric,72.6,-128.7,0,top
C3,47 μF,EEE-FT1V470AR,92.6,-112,90,top
C4,4.7 μF,C_1206_3216Metric,86.2,-119.9,90,top
C5,4.7 µF,C_0805_2012Metric,93.626497,-100.216761,-90,top
C6,4.7 µF,C_0805_2012Metric,103.026497,-100.216761,90,top
C7,4.7 μF,C_1206_3216Metric,86.2,-113.8,-90,top
C8,4.7 µF,C_0805_2012Metric,96.647593,-105.940368,-90,top
C9,4.7 µF,C_0805_2012Metric,106.047593,-105.940368,90,top
C10,0.1 µF,C_0805_2012Metric,72.4,-97.8,0,top
C11,0.1 µF,C_0805_2012Metric,54.6608,-94.996,-90,top
C12,0.1 µF,C_0805_2012Metric,55.207733,-68.80044,90,top
C13,0.1 µF,C_0805_2012Metric,59.8,-82.1,0,top
C14,0.1 µF,C_0805_2012Metric,89.6,-103.3,90,top
C15,0.1 µF,C_0805_2012Metric,76.867972,-104,-90,top
C16,10 µF,C_1210_3225Metric,55.191708,-111.709399,90,top
C17,0.1 µF,C_0805_2012Metric,66,-82.1,180,top
C18,0.1 µF,C_0805_2012Metric,63,-68.8,90,top
C19,12 pF,C_0805_2012Metric,57.45,-122.59,180,top
C20,12 pF,C_0805_2012Metric,62.291708,-122.609399,0,top
C21,3.3 nF,C_0805_2012Metric,64.2,-104.8,180,top
C22,10 nF,C_0805_2012Metric,66.8,-109,-90,top
C23,0.1 µF,C_0805_2012Metric,98.9,-75.1,180,top
C24,4700 pF,C_0805_2012Metric,93.1,-90.5,-90,top
C25,0.1 µF,C_0805_2012Metric,101.7,-57.2,0,top
C26,0.1 µF,C_0805_2012Metric,98.9,-84,0,top
C27,0.1 µF,C_0805_2012Metric,88.5,-68.2,0,top
C28,0.1 µF,C_0805_2012Metric,88.4,-73.5,0,top
C29,0.1 µF,C_0805_2012Metric,84.3,-64.7,90,top
C30,0.1 µF,C_0805_2012Metric,96.9,-68.2,0,top
C31,0.1 µF,C_0805_2012Metric,89.4,-82.4,0,top
C32,0.1 µF,C_0805_2012Metric,92.8,-64.7,90,top
C33,12 pF,C_0805_2012Metric,89.4,-86.8,180,top
C34,0.1 µF,C_0805_2012Metric,84.2,-83.5,90,top
C35,0.1 µF,C_0805_2012Metric,81,-70.6,90,top
C36,0.1 µF,C_0805_2012Metric,75.7,-83,-90,top
C37,0.1 µF,C_0805_2012Metric,75.7,-65.4,-90,top
C38,12 pF,C_0805_2012Metric,80,-90.9,0,top
C39,4.7 µF,C_0805_2012Metric,72.6,-125.3,0,top
FB1,Ferrite_Bead,C_0805_2012Metric,77.3,-128.7,180,top
J1,PJ-063AH,CUI_PJ-063AH,100,-118.7,-90,top
J2,2173157-3,CONN_2173157-3,86,-126.1,0,top
J3,SJ1-42534-SMT,CUI_SJ1-42534-SMT,80,-54.5,-90,top
K1,9011-05-11,relay_9011-05-11,96.7,-53.5,-90,top
K2,9011-05-11,relay_9011-05-11,55.1,-56.3,0,top
K3,9011-05-11,relay_9011-05-11,70.6,-56.3,0,top
K4,9011-05-11,relay_9011-05-11,65.5,-56.3,0,top
K5,9011-05-11,relay_9011-05-11,60.3,-56.3,0,top
P1,ICSP,PinHeader_1x06_P2.54mm_Vertical,67.4,-127.7,-90,top
R1,60.4 kΩ,R_0805_2012Metric,73.55,-119.1,-90,top
R2,8.87 kΩ*,R_0805_2012Metric,97.426497,-95.816761,0,top
R3,88.7 kΩ*,R_0805_2012Metric,102.226497,-95.816761,0,top
R4,178 kΩ,R_0805_2012Metric,86.9,-108.9,0,top
R5,294 kΩ*,R_0805_2012Metric,100.5,-113.8,180,top
