"Value","Reference","Footprint","Qty","Part Number"
"10 nF","C1,C22","Capacitor_SMD:C_0805_2012Metric","2","C0805C103J5GACTU"
"100 nF","C2,C10,C11,C12,C13,C14,C15,C17,C18,C23,C25,C26,C27,C28,C29,C30,C31,C32,C34,C35,C36,C37","Capacitor_SMD:C_0805_2012Metric","22","08055C104KAT2A"
"47 uF","C3","my_footprints:EEE-FT1V470AR","1","EEE-FT1V470AR"
"4.7 uF","C4,C7","Capacitor_SMD:C_1206_3216Metric","2","CL31B475KBHNNNE"
"4.7 uF","C5,C6,C8,C9,C39","Capacitor_SMD:C_0805_2012Metric","5","C2012X7R1V475K125AC"
"10 uF","C16","Capacitor_SMD:C_1210_3225Metric","1","CL32B106KBJNNWE"
"12 pF","C19,C20,C33,C38","Capacitor_SMD:C_0805_2012Metric","4","CC0805JRNPO9BN120"
"3.3 nF","C21","Capacitor_SMD:C_0805_2012Metric","1","GRM2165C1H332JA01D"
"4700 pF","C24","Capacitor_SMD:C_0805_2012Metric","1","CC0805KRX7R9BB472"
"ILBB0805ER320V","FB1","Capacitor_SMD:C_0805_2012Metric","1","ILBB0805ER320V"
"PJ-063AH","J1","my_footprints:CUI_PJ-063AH","1","PJ-063AH"
"2173157-3","J2","my_footprints:CONN_2173157-3","1","2173157-3"
"SJ1-42534-SMT","J3","my_footprints:CUI_SJ1-42534-SMT","1","SJ1-42534-SMT-TR"
"9011-05-11","K1,K2,K3,K4,K5","my_footprints:relay_9011-05-11","5","9011-05-11"
"ICSP","P1","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","PRPC006SAAN-RC"
"60.4 kΩ","R1","Resistor_SMD:R_0805_2012Metric","1","ERJ-6ENF6042V"
"8.87 kΩ*","R2","Resistor_SMD:R_0805_2012Metric","1","ERA-6AEB8871V"
"88.7 kΩ*","R3","Resistor_SMD:R_0805_2012Metric","1","ERJ-PB6B8872V"
"178 kΩ","R4","Resistor_SMD:R_0805_2012Metric","1","ERJ-6ENF1783V"
"294 kΩ*","R5","Resistor_SMD:R_0805_2012Metric","1","ERJ-PB6B2943V"
"174 kΩ*","R6","Resistor_SMD:R_0805_2012Metric","1","ERJ-PB6B1743V"
"1k","R7,R9","Resistor_SMD:R_0805_2012Metric","2","RC0805FR-071KL"
"10k","R8,R11","Resistor_SMD:R_0805_2012Metric","2","RC0805FR-0710KL"
"27R","R10","Resistor_SMD:R_0805_2012Metric","1","ERJ-6ENF27R0V"
"402k*","R12,R14","Resistor_SMD:R_0805_2012Metric","2","ERA-6AEB4023V"
"75k*","R13,R15,R17,R18,R20,R22","Resistor_SMD:R_0805_2012Metric","6","ERA-6AEB753V"
"100k*","R16","Resistor_SMD:R_0805_2012Metric","1","ERA-6AEB104V"
"1k*","R19","Resistor_SMD:R_0805_2012Metric","1","ERA-6AEB102V"
"18k*","R21","Resistor_SMD:R_0805_2012Metric","1","ERA-6AEB183V"
"2k*","R23","Resistor_SMD:R_0805_2012Metric","1","ERA-6AEB202V"
"10R*","R24","Resistor_SMD:R_0805_2012Metric","1","2-1625868-7"
"1R*","R25","Resistor_SMD:R_0805_2012Metric","1","RL1220S-1R0-F"
"LTM8045","U2","my_footprints:BGA-40_6.25x11.25mm_Layout5x8_P1.25mm","1","LTM8045IY"
"ADP7182AUJZ-R7","U3","my_footprints:TSOT-23-5","1","ADP7182AUJZ-R7"
"ADP7118AUJZ-5.0-R7","U4","my_footprints:TSOT-23-5","1","ADP7118AUJZ-5.0-R7"
"PIC16F1459","U5","my_footprints:SOIC-20W","1","PIC16F1459-I/SO"
"ADR421","U6","my_footprints:SOIC-8","1","ADR421ARZ"
"MCP3550-60","U7,U8","my_footprints:SOIC-8","2","MCP3550-60E/SN"
"DAC1220","U9","my_footprints:DAC1220","1","DAC1220E"
"OPA192","U10,U13,U14,U15,U16,U17","my_footprints:OPA192","6","OPA192IDBVR"
"BUF634A","U11","my_footprints:SOIC-8","1","BUF634AIDR"
"ADG1419","U12","my_footprints:MSOP-8_3x3mm_P0.65mm","1","ADG1419BRMZ-REEL7"
"2.5 MHz","X1","Crystal:Crystal_HC49-U_Vertical","1","ECS-25-S-1X"
