Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22",0805,2,10 nF,
"C10, C11, C12, C13, C14, C15, C17, C18, C2, C23, C25, C26, C27, C28, C29, C30, C31, C32, C34, C35, C36, C37",0805,22,100 nF,
C16,1210,1,10 uF,
"C19, C20, C33, C38",0805,4,12 pF,
C21,0805,1,3.3 nF,
C24,0805,1,4700 pF,
C3,EEE-FT1V470AR,1,47 uF,
"C39, C5, C6, C8, C9",0805,5,4.7 uF,
"C4, C7",1206,2,4.7 uF,
FB1,0805,1,32 Ω,
J1,CUI_PJ-063AH,1,PJ-063AH,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,~,C2988369
J4,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",1,Screw_Terminal_01x04,
"K1, K2, K3, K4, K5",Reed_Relay_MiRelay_SIP-HV1A05D,5,~,C41371794
P1,PinHeader_1x06_P2.54mm_Vertical,1,ICSP,
R1,0805,1,60.4 kΩ,
R10,0805,1,27R,
"R11, R8",0805,2,10k,
"R12, R14",0805,2,402k*,
"R13, R15, R17, R18, R20, R22",0805,6,75k*,
R16,0805,1,100k*,
R19,0805,1,1k*,
R2,0805,1,8.87 kΩ*,
R21,0805,1,18k*,
R23,0805,1,2k*,
R24,0805,1,10R*,
R25,0805,1,1R*,
"R26, R27",0805,2,5.1k,C27834
R3,0805,1,88.7 kΩ*,
R4,0805,1,178 kΩ,
R5,0805,1,294 kΩ*,
R6,0805,1,174 kΩ*,
"R7, R9",0805,2,1k,
"U10, U13, U14, U15, U16, U17",OPA192,6,OPA192,
U11,TI_SO-PowerPAD-8_ThermalVias,1,BUF634AIDDAR,
U12,MSOP-8_3x3mm_P0.65mm,1,ADG1419,
U2,BGA-40_6.25x11.25mm_Layout5x8_P1.25mm,1,LTM8045,
U3,TSOT-23-5,1,ADP7182AUJZ-R7,
U4,TSOT-23-5,1,ADP7118AUJZ-5.0-R7,
U5,SOIC-20W,1,PIC16F1459,
U6,SOIC-8,1,ADR421,
"U7, U8",SOIC-8,2,MCP3551,C1520170
U9,DAC1220,1,DAC1220,
