Designator,Mid X,Mid Y,Rotation,Layer
C1,77.3,-125.3,0.0,top
C10,69.84,-106.34,90.0,top
C11,55.07,-105.76,270.0,top
C12,56.85,-80.93,90.0,top
C13,62.6,-93.61,0.0,top
C14,89.52,-99.93,90.0,top
C15,78.91,-101.15,270.0,top
C16,54.84,-116.54,90.0,top
C17,66.7675,-93.6,180.0,top
C18,64.57,-80.93,90.0,top
C19,57.7525,-126.08,180.0,top
C2,72.6,-128.7,0.0,top
C20,62.594208,-126.099399,0.0,top
C21,63.55,-110.29,180.0,top
C22,66.795792,-113.840601,270.0,top
C23,104.05,-77.11,180.0,top
C24,93.1,-90.5,270.0,top
C25,96.8,-73.71,90.0,top
C26,99.33,-82.7,0.0,top
C27,90.97,-64.86,0.0,top
C28,92.46,-69.76,0.0,top
C29,87.31,-60.78,90.0,top
C3,92.6,-112.0,90.0,top
C30,98.07,-63.4,0.0,top
C31,89.4,-82.4,0.0,top
C32,94.69,-60.0,90.0,top
C33,89.4,-86.8,180.0,top
C34,84.2,-87.89,90.0,top
C35,84.77,-68.25,90.0,top
C36,76.03,-85.51,270.0,top
C37,82.13,-55.15,90.0,top
C38,79.96,-91.86,0.0,top
C39,72.6,-125.3,0.0,top
C4,86.269057,-114.812596,90.0,top
C5,93.626497,-100.216761,270.0,top
C6,103.026497,-100.216761,90.0,top
C7,86.229057,-110.022596,270.0,top
C8,96.647593,-105.940368,270.0,top
C9,106.047593,-105.940368,90.0,top
FB1,77.3,-128.7,180.0,top
J1,100.0,-123.1,270.0,top
J2,86.51,-127.0,0.0,top
J4,91.16,-53.83,180.0,top
K1,104.11,-63.43,270.0,top
K2,56.145,-66.67,90.0,top
K3,77.33,-66.67,90.0,top
K4,70.268333,-66.67,90.0,top
K5,63.206667,-66.67,90.0,top
P1,61.11,-129.0,270.0,top
R1,73.579057,-115.322596,270.0,top
R10,99.3325,-72.9825,270.0,top
R11,90.25,-92.87,180.0,top
R12,88.83,-68.44,90.0,top
R13,87.44,-75.25,270.0,top
R14,94.66,-73.65,90.0,top
R15,89.4,-90.3,0.0,top
R16,56.7325,-52.8,180.0,top
R17,78.99,-81.51,270.0,top
R18,81.85,-82.25,180.0,top
R19,77.9175,-52.7,180.0,top
R2,97.426497,-95.816761,0.0,top
R20,80.05,-88.86,0.0,top
R21,85.18,-71.86,0.0,top
R22,75.85,-89.54,270.0,top
R23,82.92,-63.66,180.0,top
R24,70.855833,-52.8,180.0,top
R25,63.794167,-52.8,180.0,top
R26,91.1,-120.07,270.0,top
R27,88.3,-120.13,270.0,top
R3,102.226497,-95.816761,0.0,top
R4,87.05,-105.94,0.0,top
R5,100.5,-113.8,180.0,top
R6,100.447593,-110.340368,0.0,top
R7,59.96,-80.96,90.0,top
R8,76.42,-102.71,270.0,top
R9,67.73,-80.79,270.0,top
U10,99.41,-79.37,180.0,top
U11,99.1,-90.0,180.0,top
U12,80.0,-95.9,90.0,top
U13,90.46,-60.6,270.0,top
U14,90.34,-75.27,90.0,top
U15,97.87,-59.88,270.0,top
U16,79.99,-85.69,270.0,top
U17,83.67,-59.47,270.0,top
U2,80.11,-111.71,0.0,top
U3,98.226497,-100.216761,180.0,top
U4,101.247593,-105.940368,180.0,top
U5,62.55,-101.44,90.0,top
U6,84.27,-100.84,90.0,top
U7,57.817733,-88.63044,180.0,top
U8,65.749605,-88.610739,180.0,top
U9,61.1875,-115.45,90.0,top
