Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,1,399-7992-1-ND,CAP CER 10000PF 50V C0G/NP0 0805,,1,0,0.69,0.69
2,4,311-4162-1-ND,CAP CER 12PF 50V NPO 0805,,4,0,0.3,1.2
3,1,490-8287-1-ND,CAP CER 3300PF 50V C0G/NP0 0805,,1,0,0.49,0.49
4,1,399-1155-1-ND,CAP CER 4700PF 50V X7R 0805,,1,0,0.1,0.1
5,2,1727-3574-1-ND,DIODE ARRAY SCHOTTKY 40V SOT23,,2,0,0.45,0.9
6,4,306-1063-ND,RELAY REED SPST 500MA 5V,,4,0,1.43,5.72
7,1,A126527-ND,CONN RCPT FMALE 4POS GOLD SOLDER,,1,0,10.44,10.44
8,1,S1011EC-06-ND,"CONN HEADER .100"" SNGL STR 6POS",,1,0,0.23,0.23
9,1,A113138-ND,CONN RCPT HV-100 SRS VERT 5POS,,1,0,1.1,1.1
10,1,P100KDACT-ND,RES SMD 100K OHM 0.1% 1/8W 0805,,1,0,0.41,0.41
11,1,A119971CT-ND,RES SMD 10 OHM 0.1% 1/10W 0805,,1,0,0.53,0.53
12,2,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,,2,0,0.1,0.2
13,1,P18KDACT-ND,RES SMD 18K OHM 0.1% 1/8W 0805,,1,0,0.41,0.41
14,2,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,,2,0,0.1,0.2
15,1,P1.0KDACT-ND,RES SMD 1K OHM 0.1% 1/8W 0805,,1,0,0.41,0.41
16,2,RG20N240KWCT-ND,RES SMD 240K OHM 0.05% 1/8W 0805,,2,0,0.93,1.86
17,1,311-27.0CRCT-ND,RES SMD 27 OHM 1% 1/8W 0805,,1,0,0.1,0.1
18,1,P2.0KDACT-ND,RES SMD 2K OHM 0.1% 1/8W 0805,,1,0,0.41,0.41
19,6,P75KBSCT-ND,RES SMD 75K OHM 0.05% 1/8W 0805,,6,0,0.82,4.92
20,1,ADR421ARZ-ND,IC VREF SERIES 2.5V 8SOIC,,1,0,6.62,6.62
21,1,DAC1220E-ND,IC 20-BIT MONOLITHIC D/A 16SSOP,,1,0,19.8,19.8
22,1,DG449DS-T1-E3CT-ND,IC SWITCH SINGLE SPDT SOT23-8,,1,0,1.5,1.5
23,1,LM2662M/NOPB-ND,IC REG SWTCHD CAP INV 0.2A 8SOIC,,1,0,2.57,2.57
24,2,MCP3553-E/SN-ND,IC ADC 22BIT 2.7V 1CH SPI 8SOIC,,2,0,4.1,8.2
25,1,296-42106-1-ND,IC OP AMP RRIO E-TRIM 8SOIC,,1,0,4.2,4.2
26,1,296-43159-1-ND,IC OPAMP RRI/O 14SOIC,,1,0,6.61,6.61
27,1,PIC16F1459-I/SO-ND,IC MCU 8BIT 14KB FLASH 20SOIC,,1,0,1.82,1.82
28,1,X1003-ND,CRYSTAL 2.5000MHZ SERIES T/H,,1,0,1.13,1.13
29,9,490-1867-1-ND,CAP CER 10UF 25V X7R 1210,,9,0,0.83,7.47
30,1,HM3149-ND,"BOX ALUM BLACK 3.48""L X 2.44""W",,1,0,26.95,26.95
31,1,708-1230-ND,CABLE IP68 MINI B TO A USB 3M,,1,0,19.77,19.77
32,1,708-1236-ND,CABLE IP68 B MINI USB-5WAY HEADE,,1,0,10.58,10.58
33,1,277-12857-ND,SENSOR/ACTUATOR CABLE 4POS,,1,0,14.96,14.96
